bpmnProcessId,completed,created,duration,elementId,elementInstanceKey,endPosition,ended,key,partition,startPosition,type,"workflowDefinitionVersion",workflowInstanceKey,workflowKey
process,true,1551053976666,4767,ServiceTask_0kt6c5i,6,4295562960,1551053981433,8,0,4294981096,task,1,3,1
process,true,1551053976693,4747,ServiceTask_0kt6c5i,21,4295564112,1551053981440,22,0,4294990136,task,1,18,1
process,true,1551053976675,4771,ServiceTask_0kt6c5i,11,4295566360,1551053981446,12,0,4294983800,task,1,7,1
process,true,1551053976685,4761,ServiceTask_0kt6c5i,16,4295566704,1551053981446,17,0,4294986968,task,1,13,1
process,true,1551053976704,4742,ServiceTask_0kt6c5i,26,4295567048,1551053981446,27,0,4294993304,task,1,23,1
process,true,1551053976713,4739,ServiceTask_0kt6c5i,31,4295574120,1551053981452,32,0,4294996472,task,1,28,1
process,true,1551053976725,4733,ServiceTask_0kt6c5i,36,4295580864,1551053981458,37,0,4294999640,task,1,33,1
process,true,1551053976755,4703,ServiceTask_0kt6c5i,46,4295581208,1551053981458,47,0,4295005976,task,1,43,1
process,true,1551053976743,4721,ServiceTask_0kt6c5i,41,4295586448,1551053981464,42,0,4295002808,task,1,38,1
process,true,1551053976775,4696,ServiceTask_0kt6c5i,51,4295589672,1551053981471,52,0,4295009144,task,1,48,1
process,true,1551053976789,4683,ServiceTask_0kt6c5i,56,4295590016,1551053981472,57,0,4295012312,task,1,53,1
process,true,1551053976816,4662,ServiceTask_0kt6c5i,66,4295595832,1551053981478,67,0,4295018648,task,1,63,1
process,true,1551053976802,4676,ServiceTask_0kt6c5i,61,4295596176,1551053981478,62,0,4295015480,task,1,58,1
process,true,1551053976822,4656,ServiceTask_0kt6c5i,71,4295596520,1551053981478,72,0,4295021816,task,1,68,1
process,true,1551053976843,4642,ServiceTask_0kt6c5i,76,4295598184,1551053981485,79,0,4295025936,task,1,73,1
process,true,1551053976848,4638,ServiceTask_0kt6c5i,81,4295600416,1551053981486,82,0,4295028152,task,1,77,1
process,true,1551053976863,4624,ServiceTask_0kt6c5i,86,4295600760,1551053981487,87,0,4295031320,task,1,83,1
process,true,1551053976871,4620,ServiceTask_0kt6c5i,91,4295609864,1551053981491,92,0,4295034488,task,1,88,1
process,true,1551053976878,4614,ServiceTask_0kt6c5i,96,4295612296,1551053981492,97,0,4295037656,task,1,93,1
process,true,1551053976885,4610,ServiceTask_0kt6c5i,101,4295613664,1551053981495,102,0,4295040824,task,1,98,1
process,true,1551053976896,4600,ServiceTask_0kt6c5i,106,4295616120,1551053981496,107,0,4295043992,task,1,103,1
process,true,1551053976904,4594,ServiceTask_0kt6c5i,111,4295617480,1551053981498,112,0,4295047160,task,1,108,1
process,true,1551053976911,4593,ServiceTask_0kt6c5i,116,4295637632,1551053981504,117,0,4295050328,task,1,113,1
process,true,1551053976918,4586,ServiceTask_0kt6c5i,121,4295637976,1551053981504,122,0,4295053496,task,1,118,1
process,true,1551053976925,4581,ServiceTask_0kt6c5i,126,4295641400,1551053981506,127,0,4295056664,task,1,123,1
process,true,1551053976933,4578,ServiceTask_0kt6c5i,131,4295645360,1551053981511,132,0,4295059840,task,1,128,1
process,true,1551053976940,4574,ServiceTask_0kt6c5i,136,4295650848,1551053981514,137,0,4295063024,task,1,133,1
process,true,1551053976948,4570,ServiceTask_0kt6c5i,141,4295655288,1551053981518,142,0,4295066208,task,1,138,1
process,true,1551053976956,4565,ServiceTask_0kt6c5i,146,4295658224,1551053981521,147,0,4295069392,task,1,143,1
process,true,1551053976967,4557,ServiceTask_0kt6c5i,151,4295659640,1551053981524,152,0,4295072576,task,1,148,1
process,true,1551053976974,4552,ServiceTask_0kt6c5i,156,4295663344,1551053981526,157,0,4295075760,task,1,153,1
process,true,1551053976981,4546,ServiceTask_0kt6c5i,161,4295664776,1551053981527,162,0,4295078944,task,1,158,1
process,true,1551053976989,4538,ServiceTask_0kt6c5i,166,4295665120,1551053981527,167,0,4295082128,task,1,163,1
process,true,1551053976996,4531,ServiceTask_0kt6c5i,171,4295666776,1551053981527,172,0,4295085312,task,1,168,1
process,true,1551053977002,4530,ServiceTask_0kt6c5i,176,4295676128,1551053981532,177,0,4295088496,task,1,173,1
process,true,1551053977009,4524,ServiceTask_0kt6c5i,181,4295676472,1551053981533,182,0,4295091680,task,1,178,1
process,true,1551053977023,4511,ServiceTask_0kt6c5i,191,4295678432,1551053981534,192,0,4295098048,task,1,188,1
process,true,1551053977017,4517,ServiceTask_0kt6c5i,186,4295678776,1551053981534,187,0,4295094864,task,1,183,1
process,true,1551053977030,4511,ServiceTask_0kt6c5i,196,4295687584,1551053981541,197,0,4295101232,task,1,193,1
process,true,1551053977039,4503,ServiceTask_0kt6c5i,201,4295688736,1551053981542,202,0,4295104416,task,1,198,1
process,true,1551053977056,4486,ServiceTask_0kt6c5i,211,4295689888,1551053981542,212,0,4295110784,task,1,208,1
process,true,1551053977045,4498,ServiceTask_0kt6c5i,206,4295691296,1551053981543,207,0,4295107600,task,1,203,1
process,true,1551053977065,4481,ServiceTask_0kt6c5i,216,4295697576,1551053981546,217,0,4295113968,task,1,213,1
process,true,1551053977081,4467,ServiceTask_0kt6c5i,226,4295700048,1551053981548,227,0,4295120336,task,1,223,1
process,true,1551053977072,4476,ServiceTask_0kt6c5i,221,4295700392,1551053981548,222,0,4295117152,task,1,218,1
process,true,1551053977092,4456,ServiceTask_0kt6c5i,231,4295700736,1551053981548,232,0,4295123520,task,1,228,1
process,true,1551053977100,4455,ServiceTask_0kt6c5i,236,4295725088,1551053981555,237,0,4295126704,task,1,233,1
process,true,1551053977107,4448,ServiceTask_0kt6c5i,241,4295725432,1551053981555,242,0,4295129888,task,1,238,1
process,true,1551053977113,4442,ServiceTask_0kt6c5i,246,4295725776,1551053981555,247,0,4295133072,task,1,243,1
process,true,1551053977120,4435,ServiceTask_0kt6c5i,251,4295726120,1551053981555,252,0,4295136256,task,1,248,1
process,true,1551053977125,4445,ServiceTask_0kt6c5i,256,4295732480,1551053981570,257,0,4295139440,task,1,253,1
process,true,1551053977147,4423,ServiceTask_0kt6c5i,271,4295732824,1551053981570,272,0,4295149064,task,1,268,1
process,true,1551053977140,4432,ServiceTask_0kt6c5i,266,4295736056,1551053981572,267,0,4295145856,task,1,263,1
process,true,1551053977134,4438,ServiceTask_0kt6c5i,261,4295736400,1551053981572,262,0,4295142648,task,1,258,1
process,true,1551053977153,4422,ServiceTask_0kt6c5i,276,4295742168,1551053981575,277,0,4295152272,task,1,273,1
process,true,1551053977166,4413,ServiceTask_0kt6c5i,286,4295749208,1551053981579,287,0,4295158688,task,1,283,1
process,true,1551053977160,4419,ServiceTask_0kt6c5i,281,4295749552,1551053981579,282,0,4295155480,task,1,278,1
process,true,1551053977172,4410,ServiceTask_0kt6c5i,291,4295756568,1551053981582,292,0,4295161896,task,1,288,1
process,true,1551053977177,4407,ServiceTask_0kt6c5i,296,4295759512,1551053981584,297,0,4295165104,task,1,293,1
process,true,1551053977183,4406,ServiceTask_0kt6c5i,301,4295763032,1551053981589,302,0,4295168312,task,1,298,1
process,true,1551053977190,4399,ServiceTask_0kt6c5i,306,4295763376,1551053981589,307,0,4295171520,task,1,303,1
process,true,1551053977198,4391,ServiceTask_0kt6c5i,311,4295763720,1551053981589,312,0,4295174728,task,1,308,1
process,true,1551053977207,4383,ServiceTask_0kt6c5i,316,4295765408,1551053981590,317,0,4295177936,task,1,313,1
process,true,1551053977221,4380,ServiceTask_0kt6c5i,326,4295774520,1551053981601,327,0,4295184352,task,1,323,1
process,true,1551053977214,4389,ServiceTask_0kt6c5i,321,4295774864,1551053981603,322,0,4295181144,task,1,318,1
process,true,1551053977234,4373,ServiceTask_0kt6c5i,336,4295780408,1551053981607,337,0,4295190768,task,1,333,1
process,true,1551053977228,4379,ServiceTask_0kt6c5i,331,4295780752,1551053981607,332,0,4295187560,task,1,328,1
process,true,1551053977240,4378,ServiceTask_0kt6c5i,341,4295799160,1551053981618,342,0,4295193976,task,1,338,1
process,true,1551053977246,4375,ServiceTask_0kt6c5i,346,4295801608,1551053981621,347,0,4295197184,task,1,343,1
process,true,1551053977254,4367,ServiceTask_0kt6c5i,351,4295803000,1551053981621,352,0,4295200392,task,1,348,1
process,true,1551053977260,4369,ServiceTask_0kt6c5i,356,4295807992,1551053981629,357,0,4295203600,task,1,353,1
process,true,1551053977267,4362,ServiceTask_0kt6c5i,361,4295809176,1551053981629,362,0,4295206808,task,1,358,1
process,true,1551053977272,4358,ServiceTask_0kt6c5i,366,4295809784,1551053981630,367,0,4295210016,task,1,363,1
process,true,1551053977278,4354,ServiceTask_0kt6c5i,371,4295814056,1551053981632,372,0,4295213224,task,1,368,1
process,true,1551053977283,4355,ServiceTask_0kt6c5i,376,4295819768,1551053981638,377,0,4295216432,task,1,373,1
process,true,1551053977303,4345,ServiceTask_0kt6c5i,386,4295823288,1551053981648,387,0,4295222848,task,1,383,1
process,true,1551053977294,4354,ServiceTask_0kt6c5i,381,4295823632,1551053981648,382,0,4295219640,task,1,378,1
process,true,1551053977315,4333,ServiceTask_0kt6c5i,391,4295823976,1551053981648,392,0,4295226056,task,1,388,1
process,true,1551053977321,4328,ServiceTask_0kt6c5i,396,4295826456,1551053981649,397,0,4295229264,task,1,393,1
process,true,1551053977339,4316,ServiceTask_0kt6c5i,411,4295833272,1551053981655,412,0,4295238888,task,1,408,1
process,true,1551053977327,4328,ServiceTask_0kt6c5i,401,4295833616,1551053981655,402,0,4295232472,task,1,398,1
process,true,1551053977344,4315,ServiceTask_0kt6c5i,416,4295837848,1551053981659,417,0,4295242096,task,1,413,1
process,true,1551053977333,4329,ServiceTask_0kt6c5i,406,4295843112,1551053981662,407,0,4295235680,task,1,403,1
process,true,1551053977351,4311,ServiceTask_0kt6c5i,421,4295843456,1551053981662,422,0,4295245304,task,1,418,1
process,true,1551053977357,4307,ServiceTask_0kt6c5i,426,4295847960,1551053981664,427,0,4295248512,task,1,423,1
process,true,1551053977364,4305,ServiceTask_0kt6c5i,431,4295851232,1551053981669,432,0,4295251720,task,1,428,1
process,true,1551053977372,4297,ServiceTask_0kt6c5i,436,4295851576,1551053981669,437,0,4295254928,task,1,433,1
process,true,1551053977377,4292,ServiceTask_0kt6c5i,441,4295851920,1551053981669,442,0,4295258136,task,1,438,1
process,true,1551053977385,4284,ServiceTask_0kt6c5i,446,4295852264,1551053981669,447,0,4295261344,task,1,443,1
process,true,1551053977390,4290,ServiceTask_0kt6c5i,451,4295871368,1551053981680,452,0,4295264552,task,1,448,1
process,true,1551053977395,4286,ServiceTask_0kt6c5i,456,4295871968,1551053981681,457,0,4295267760,task,1,453,1
process,true,1551053977410,4271,ServiceTask_0kt6c5i,466,4295872312,1551053981681,467,0,4295274176,task,1,463,1
process,true,1551053977402,4279,ServiceTask_0kt6c5i,461,4295872656,1551053981681,462,0,4295270968,task,1,458,1
process,true,1551053977428,4258,ServiceTask_0kt6c5i,481,4295884824,1551053981686,482,0,4295283800,task,1,478,1
process,true,1551053977423,4266,ServiceTask_0kt6c5i,476,4295890360,1551053981689,477,0,4295280592,task,1,473,1
process,true,1551053977416,4273,ServiceTask_0kt6c5i,471,4295890704,1551053981689,472,0,4295277384,task,1,468,1
process,true,1551053977434,4255,ServiceTask_0kt6c5i,486,4295891296,1551053981689,487,0,4295287008,task,1,483,1
process,true,1551053977439,4261,ServiceTask_0kt6c5i,491,4295901208,1551053981700,492,0,4295290216,task,1,488,1
process,true,1551053977445,4256,ServiceTask_0kt6c5i,496,4295901552,1551053981701,497,0,4295293424,task,1,493,1
process,true,1551053977452,4249,ServiceTask_0kt6c5i,501,4295901896,1551053981701,502,0,4295296632,task,1,498,1
process,true,1551053977458,4250,ServiceTask_0kt6c5i,506,4295909464,1551053981708,507,0,4295299840,task,1,503,1
process,true,1551053977464,4245,ServiceTask_0kt6c5i,511,4295910936,1551053981709,512,0,4295303048,task,1,508,1
process,true,1551053977471,4238,ServiceTask_0kt6c5i,516,4295911280,1551053981709,517,0,4295306256,task,1,513,1
process,true,1551053977477,4232,ServiceTask_0kt6c5i,521,4295911624,1551053981709,522,0,4295309464,task,1,518,1
process,true,1551053977483,4232,ServiceTask_0kt6c5i,526,4295922104,1551053981715,527,0,4295312672,task,1,523,1
process,true,1551053977503,4212,ServiceTask_0kt6c5i,541,4295922448,1551053981715,542,0,4295322296,task,1,538,1
process,true,1551053977488,4227,ServiceTask_0kt6c5i,531,4295922792,1551053981715,532,0,4295315880,task,1,528,1
process,true,1551053977498,4217,ServiceTask_0kt6c5i,536,4295923136,1551053981715,537,0,4295319088,task,1,533,1
process,true,1551053977508,4210,ServiceTask_0kt6c5i,546,4295930008,1551053981718,547,0,4295325504,task,1,543,1
process,true,1551053977514,4210,ServiceTask_0kt6c5i,551,4295936824,1551053981724,552,0,4295328712,task,1,548,1
process,true,1551053977521,4203,ServiceTask_0kt6c5i,556,4295937168,1551053981724,557,0,4295331920,task,1,553,1
process,true,1551053977526,4198,ServiceTask_0kt6c5i,561,4295937512,1551053981724,562,0,4295335128,task,1,558,1
process,true,1551053977532,4192,ServiceTask_0kt6c5i,566,4295937856,1551053981724,567,0,4295338336,task,1,563,1
process,true,1551053977544,4190,ServiceTask_0kt6c5i,576,4295959192,1551053981734,577,0,4295344752,task,1,573,1
process,true,1551053977539,4196,ServiceTask_0kt6c5i,571,4295959536,1551053981735,572,0,4295341544,task,1,568,1
process,true,1551053977551,4189,ServiceTask_0kt6c5i,581,4295967064,1551053981740,582,0,4295347960,task,1,578,1
process,true,1551053977558,4182,ServiceTask_0kt6c5i,586,4295967408,1551053981740,587,0,4295351168,task,1,583,1
process,true,1551053977571,4176,ServiceTask_0kt6c5i,596,4295972664,1551053981747,597,0,4295357584,task,1,593,1
process,true,1551053977564,4191,ServiceTask_0kt6c5i,591,4295976184,1551053981755,592,0,4295354376,task,1,588,1
process,true,1551053977586,4169,ServiceTask_0kt6c5i,606,4295976528,1551053981755,607,0,4295364000,task,1,603,1
process,true,1551053977579,4176,ServiceTask_0kt6c5i,601,4295976872,1551053981755,602,0,4295360792,task,1,598,1
process,true,1551053977592,4165,ServiceTask_0kt6c5i,611,4295980136,1551053981757,612,0,4295367208,task,1,608,1
process,true,1551053977598,4161,ServiceTask_0kt6c5i,616,4295983864,1551053981759,617,0,4295370416,task,1,613,1
process,true,1551053977604,4156,ServiceTask_0kt6c5i,621,4295987064,1551053981760,622,0,4295373624,task,1,618,1
process,true,1551053977610,4150,ServiceTask_0kt6c5i,626,4295987408,1551053981760,627,0,4295376832,task,1,623,1
process,true,1551053977616,4147,ServiceTask_0kt6c5i,631,4295992936,1551053981763,632,0,4295380040,task,1,628,1
process,true,1551053977621,4148,ServiceTask_0kt6c5i,636,4295996744,1551053981769,637,0,4295383248,task,1,633,1
process,true,1551053977644,4127,ServiceTask_0kt6c5i,646,4295997088,1551053981771,647,0,4295389664,task,1,643,1
process,true,1551053977631,4140,ServiceTask_0kt6c5i,641,4295997432,1551053981771,642,0,4295386456,task,1,638,1
process,true,1551053977651,4120,ServiceTask_0kt6c5i,651,4295997776,1551053981771,652,0,4295392872,task,1,648,1
process,true,1551053977658,4117,ServiceTask_0kt6c5i,656,4296004872,1551053981775,657,0,4295396080,task,1,653,1
process,true,1551053977665,4115,ServiceTask_0kt6c5i,661,4296013880,1551053981780,662,0,4295399288,task,1,658,1
process,true,1551053977672,4110,ServiceTask_0kt6c5i,666,4296017400,1551053981782,667,0,4295402496,task,1,663,1
process,true,1551053977679,4104,ServiceTask_0kt6c5i,671,4296017744,1551053981783,672,0,4295405704,task,1,668,1
process,true,1551053977684,4099,ServiceTask_0kt6c5i,676,4296018088,1551053981783,677,0,4295408912,task,1,673,1
process,true,1551053977691,4098,ServiceTask_0kt6c5i,681,4296025832,1551053981789,682,0,4295412120,task,1,678,1
