bpmnElementType,bpmnProcessId,completed,created,duration,elementId,endPosition,ended,flowScopeKey,key,partition,startPosition,version,workflowInstanceKey,workflowKey
START_EVENT,process,true,1551053976655,3,StartEvent_1,4294979248,1551053976658,3,4,0,4294978504,1,3,1
START_EVENT,process,true,1551053976670,2,StartEvent_1,4294982416,1551053976672,7,9,0,4294981672,1,7,1
START_EVENT,process,true,1551053976679,2,StartEvent_1,4294985584,1551053976681,13,14,0,4294984840,1,13,1
START_EVENT,process,true,1551053976689,2,StartEvent_1,4294988752,1551053976691,18,19,0,4294988008,1,18,1
START_EVENT,process,true,1551053976699,2,StartEvent_1,4294991920,1551053976701,23,24,0,4294991176,1,23,1
START_EVENT,process,true,1551053976709,2,StartEvent_1,4294995088,1551053976711,28,29,0,4294994344,1,28,1
START_EVENT,process,true,1551053976719,3,StartEvent_1,4294998256,1551053976722,33,34,0,4294997512,1,33,1
START_EVENT,process,true,1551053976736,1,StartEvent_1,4295001424,1551053976737,38,39,0,4295000680,1,38,1
START_EVENT,process,true,1551053976751,1,StartEvent_1,4295004592,1551053976752,43,44,0,4295003848,1,43,1
START_EVENT,process,true,1551053976766,1,StartEvent_1,4295007760,1551053976767,48,49,0,4295007016,1,48,1
START_EVENT,process,true,1551053976785,2,StartEvent_1,4295010928,1551053976787,53,54,0,4295010184,1,53,1
START_EVENT,process,true,1551053976797,3,StartEvent_1,4295014096,1551053976800,58,59,0,4295013352,1,58,1
START_EVENT,process,true,1551053976807,6,StartEvent_1,4295017264,1551053976813,63,64,0,4295016520,1,63,1
START_EVENT,process,true,1551053976819,1,StartEvent_1,4295020432,1551053976820,68,69,0,4295019688,1,68,1
START_EVENT,process,true,1551053976833,6,StartEvent_1,4295023600,1551053976839,73,74,0,4295022856,1,73,1
START_EVENT,process,true,1551053976842,2,StartEvent_1,4295026768,1551053976844,77,78,0,4295025688,1,77,1
START_EVENT,process,true,1551053976861,1,StartEvent_1,4295029936,1551053976862,83,84,0,4295029192,1,83,1
START_EVENT,process,true,1551053976868,1,StartEvent_1,4295033104,1551053976869,88,89,0,4295032360,1,88,1
START_EVENT,process,true,1551053976875,2,StartEvent_1,4295036272,1551053976877,93,94,0,4295035528,1,93,1
START_EVENT,process,true,1551053976883,1,StartEvent_1,4295039440,1551053976884,98,99,0,4295038696,1,98,1
START_EVENT,process,true,1551053976895,0,StartEvent_1,4295042608,1551053976895,103,104,0,4295041864,1,103,1
